Location ID,ZIP,Primary_City,State,County,Estimated_population_2013
1,90650,Norwalk,CA,Los Angeles County,96410
2,90280,South Gate,CA,Los Angeles County,87540
3,91331,Pacoima,CA,Los Angeles County,86700
4,90201,Bell Gardens,CA,Los Angeles County,85916
5,92335,Fontana,CA,San Bernardino County,82569
6,92704,Santa Ana,CA,Orange County,82135
7,92683,Westminster,CA,Orange County,81643
8,90805,Long Beach,CA,Los Angeles County,81211
9,90250,Hawthorne,CA,Los Angeles County,80909
10,92154,San Diego,CA,San Diego County,80358
11,90011,Los Angeles,CA,Los Angeles County,79469
12,91911,Chula Vista,CA,San Diego County,77875
13,92336,Fontana,CA,San Bernardino County,77592
14,93033,Oxnard,CA,Ventura County,77549
15,91744,La Puente,CA,Los Angeles County,77447
16,91342,Sylmar,CA,Los Angeles County,77346
17,91709,Chino Hills,CA,San Bernardino County,74528
18,94565,Pittsburg,CA,Contra Costa County,74517
19,95076,Watsonville,CA,Santa Cruz County,73953
20,92804,Anaheim,CA,Orange County,72507
21,92503,Riverside,CA,Riverside County,71856
22,92376,Rialto,CA,San Bernardino County,70686
23,91706,Baldwin Park,CA,Los Angeles County,70601
24,91910,Chula Vista,CA,San Diego County,69192
25,94112,San Francisco,CA,San Francisco County,69192
26,90255,Huntington Park,CA,Los Angeles County,69140
27,90044,Los Angeles,CA,Los Angeles County,68666
28,93065,Simi Valley,CA,Ventura County,67782
29,91710,Chino,CA,San Bernardino County,66234
30,90706,Bellflower,CA,Los Angeles County,65089
31,92345,Hesperia,CA,San Bernardino County,65019
32,94587,Union City,CA,Alameda County,65015
33,94544,Hayward,CA,Alameda County,65008
34,92509,Riverside,CA,Riverside County,64867
35,92126,San Diego,CA,San Diego County,64251
36,92054,Oceanside,CA,San Diego County,64212
37,93722,Fresno,CA,Fresno County,63218
38,93550,Palmdale,CA,Los Angeles County,62601
39,91766,Pomona,CA,Los Angeles County,62388
40,94558,Napa,CA,Napa County,61833
41,94536,Fremont,CA,Alameda County,61805
42,94533,Fairfield,CA,Solano County,61596
43,90631,La Habra,CA,Orange County,61495
44,95823,Sacramento,CA,Sacramento County,61300
45,92805,Anaheim,CA,Orange County,61203
46,92703,Santa Ana,CA,Orange County,60877
47,92882,Corona,CA,Riverside County,60821
48,92677,Laguna Niguel,CA,Orange County,60596
49,91335,Reseda,CA,Los Angeles County,60531
50,92553,Moreno Valley,CA,Riverside County,60407
51,92592,Temecula,CA,Riverside County,60345
52,90262,Lynwood,CA,Los Angeles County,60297
53,92114,San Diego,CA,San Diego County,59702
54,92707,Santa Ana,CA,Orange County,59663
55,95035,Milpitas,CA,Santa Clara County,58980
56,95630,Folsom,CA,Sacramento County,58478
57,90660,Pico Rivera,CA,Los Angeles County,58453
58,93905,Salinas,CA,Monterey County,58405
59,94080,South San Francisco,CA,San Mateo County,58023
60,95014,Cupertino,CA,Santa Clara County,57835
61,95123,San Jose,CA,Santa Clara County,57815
62,93307,Bakersfield,CA,Kern County,57592
63,95206,Stockton,CA,San Joaquin County,56882
64,90022,Los Angeles,CA,Los Angeles County,56755
65,92630,Lake Forest,CA,Orange County,56565
66,91770,Rosemead,CA,Los Angeles County,56530
67,93535,Lancaster,CA,Los Angeles County,56335
68,95624,Elk Grove,CA,Sacramento County,55670
69,94509,Antioch,CA,Contra Costa County,55659
70,95127,San Jose,CA,Santa Clara County,55355
71,90745,Carson,CA,Los Angeles County,55170
72,93257,Porterville,CA,Tulare County,55076
73,95758,Elk Grove,CA,Sacramento County,55069
74,92231,Calexico,CA,Imperial County,54934
75,94015,Daly City,CA,San Mateo County,54895
76,92021,El Cajon,CA,San Diego County,54814
77,90640,Montebello,CA,Los Angeles County,54639
78,91761,Ontario,CA,San Bernardino County,54539
79,94110,San Francisco,CA,San Francisco County,54501
80,93536,Lancaster,CA,Los Angeles County,54292
81,91730,Rancho Cucamonga,CA,San Bernardino County,53760
82,92801,Anaheim,CA,Orange County,53556
83,91402,Panorama City,CA,Los Angeles County,53526
84,92562,Murrieta,CA,Riverside County,53431
85,92708,Fountain Valley,CA,Orange County,53324
86,93030,Oxnard,CA,Ventura County,53101
87,92105,San Diego,CA,San Diego County,53020
88,92646,Huntington Beach,CA,Orange County,52992
89,94538,Fremont,CA,Alameda County,52856
90,95687,Vacaville,CA,Solano County,52759
91,90026,Los Angeles,CA,Los Angeles County,52678
92,93274,Tulare,CA,Tulare County,52570
93,91732,El Monte,CA,Los Angeles County,52470
94,93230,Hanford,CA,Kings County,52413
95,90042,Los Angeles,CA,Los Angeles County,52279
96,95111,San Jose,CA,Santa Clara County,52097
97,90703,Cerritos,CA,Los Angeles County,51994
98,91762,Ontario,CA,San Bernardino County,51740
99,91745,Hacienda Heights,CA,Los Angeles County,51729
100,93063,Simi Valley,CA,Ventura County,51726
101,92647,Huntington Beach,CA,Orange County,51717
102,93906,Salinas,CA,Monterey County,51688
103,94539,Fremont,CA,Alameda County,51664
104,95340,Merced,CA,Merced County,51634
105,92129,San Diego,CA,San Diego County,51624
106,92201,Indio,CA,Riverside County,51423
107,91977,Spring Valley,CA,San Diego County,51309
108,95122,San Jose,CA,Santa Clara County,51266
109,91702,Azusa,CA,Los Angeles County,51024
110,94501,Alameda,CA,Alameda County,50950
111,92324,Colton,CA,San Bernardino County,50748
112,90003,Los Angeles,CA,Los Angeles County,50694
113,95608,Carmichael,CA,Sacramento County,50575
114,95828,Sacramento,CA,Sacramento County,50500
115,94087,Sunnyvale,CA,Santa Clara County,50288
116,94806,San Pablo,CA,Contra Costa County,50231
117,93727,Fresno,CA,Fresno County,50111
118,92057,Oceanside,CA,San Diego County,50108
119,94591,Vallejo,CA,Solano County,50009
120,93306,Bakersfield,CA,Kern County,49794
121,94541,Hayward,CA,Alameda County,49735
122,92627,Costa Mesa,CA,Orange County,49674
123,90019,Los Angeles,CA,Los Angeles County,49430
124,90723,Paramount,CA,Los Angeles County,49299
125,94122,San Francisco,CA,San Francisco County,49277
126,95051,Santa Clara,CA,Santa Clara County,49177
127,92780,Tustin,CA,Orange County,48992
128,92346,Highland,CA,San Bernardino County,48978
129,93309,Bakersfield,CA,Kern County,48978
130,95355,Modesto,CA,Stanislaus County,48934
131,93312,Bakersfield,CA,Kern County,48913
132,91765,Diamond Bar,CA,Los Angeles County,48578
133,90004,Los Angeles,CA,Los Angeles County,48321
134,92056,Oceanside,CA,San Diego County,48106
135,95020,Gilroy,CA,Santa Clara County,48009
136,91950,National City,CA,San Diego County,47708
137,92563,Murrieta,CA,Riverside County,47530
138,94513,Brentwood,CA,Contra Costa County,47487
139,91343,North Hills,CA,Los Angeles County,47425
140,92064,Poway,CA,San Diego County,47240
141,92404,San Bernardino,CA,San Bernardino County,47075
142,90744,Wilmington,CA,Los Angeles County,47073
143,91344,Granada Hills,CA,Los Angeles County,47029
144,90066,Los Angeles,CA,Los Angeles County,47001
145,92071,Santee,CA,San Diego County,46930
146,90630,Cypress,CA,Orange County,46923
147,95376,Tracy,CA,San Joaquin County,46874
148,92692,Mission Viejo,CA,Orange County,46866
149,92870,Placentia,CA,Orange County,46792
150,90034,Los Angeles,CA,Los Angeles County,46783
151,90731,San Pedro,CA,Los Angeles County,46774
152,91605,North Hollywood,CA,Los Angeles County,46752
153,92833,Fullerton,CA,Orange County,46751
154,93551,Palmdale,CA,Los Angeles County,46609
155,92840,Garden Grove,CA,Orange County,46464
156,92173,San Ysidro,CA,San Diego County,46367
157,92691,Mission Viejo,CA,Orange County,46325
158,91801,Alhambra,CA,Los Angeles County,46282
159,94550,Livermore,CA,Alameda County,46035
160,93720,Fresno,CA,Fresno County,45846
161,92557,Moreno Valley,CA,Riverside County,45832
162,90001,Los Angeles,CA,Los Angeles County,45624
163,92504,Riverside,CA,Riverside County,45623
164,95670,Rancho Cordova,CA,Sacramento County,45575
165,91764,Ontario,CA,San Bernardino County,45296
166,92027,Escondido,CA,San Diego County,45198
167,90037,Los Angeles,CA,Los Angeles County,45161
168,92399,Yucaipa,CA,San Bernardino County,45088
169,90221,Compton,CA,Los Angeles County,45086
170,90063,Los Angeles,CA,Los Angeles County,45041
171,92701,Santa Ana,CA,Orange County,44743
172,92886,Yorba Linda,CA,Orange County,44738
173,92024,Encinitas,CA,San Diego County,44657
174,92407,San Bernardino,CA,San Bernardino County,44594
175,95148,San Jose,CA,Santa Clara County,44357
176,93003,Ventura,CA,Ventura County,44177
177,92020,El Cajon,CA,San Diego County,44171
178,95023,Hollister,CA,San Benito County,43971
179,90638,La Mirada,CA,Los Angeles County,43959
180,91320,Newbury Park,CA,Ventura County,43893
181,92392,Victorville,CA,San Bernardino County,43799
182,92117,San Diego,CA,San Diego County,43766
183,92128,San Diego,CA,San Diego County,43719
184,91748,Rowland Heights,CA,Los Angeles County,43702
185,95125,San Jose,CA,Santa Clara County,43445
186,93611,Clovis,CA,Fresno County,43340
187,92656,Aliso Viejo,CA,Orange County,43215
188,92130,San Diego,CA,San Diego County,43193
189,91789,Walnut,CA,Los Angeles County,43184
190,94583,San Ramon,CA,Contra Costa County,43144
191,93436,Lompoc,CA,Santa Barbara County,43076
192,90813,Long Beach,CA,Los Angeles County,43056
193,91304,Canoga Park,CA,Los Angeles County,42874
194,95124,San Jose,CA,Santa Clara County,42803
195,91786,Upland,CA,San Bernardino County,42772
196,90620,Buena Park,CA,Orange County,42604
197,95350,Modesto,CA,Stanislaus County,42596
198,93458,Santa Maria,CA,Santa Barbara County,42507
199,90220,Compton,CA,Los Angeles County,42468
200,94553,Martinez,CA,Contra Costa County,42245
201,90047,Los Angeles,CA,Los Angeles County,42193
202,94566,Pleasanton,CA,Alameda County,42158
203,92705,Santa Ana,CA,Orange County,42157
204,90247,Gardena,CA,Los Angeles County,42096
205,92243,El Centro,CA,Imperial County,42086
206,92688,Rancho Santa Margarita,CA,Orange County,42026
207,91406,Van Nuys,CA,Los Angeles County,42022
208,92026,Escondido,CA,San Diego County,41751
209,92879,Corona,CA,Riverside County,41608
210,95747,Roseville,CA,Placer County,41524
211,93277,Visalia,CA,Tulare County,41450
212,94577,San Leandro,CA,Alameda County,41391
213,95116,San Jose,CA,Santa Clara County,41355
214,91767,Pomona,CA,Los Angeles County,41298
215,94560,Newark,CA,Alameda County,41261
216,92028,Fallbrook,CA,San Diego County,41168
217,90275,Rancho Palos Verdes,CA,Los Angeles County,41117
218,91352,Sun Valley,CA,Los Angeles County,41087
219,92626,Costa Mesa,CA,Orange County,41047
220,92506,Riverside,CA,Riverside County,40935
221,94014,Daly City,CA,San Mateo County,40766
222,95843,Antelope,CA,Sacramento County,40608
223,90503,Torrance,CA,Los Angeles County,40569
224,94601,Oakland,CA,Alameda County,40560
225,93638,Madera,CA,Madera County,40435
226,94116,San Francisco,CA,San Francisco County,40433
227,92648,Huntington Beach,CA,Orange County,40257
228,92880,Corona,CA,Riverside County,40234
229,91360,Thousand Oaks,CA,Ventura County,40154
230,90065,Los Angeles,CA,Los Angeles County,40100
231,92843,Garden Grove,CA,Orange County,40067
232,91790,West Covina,CA,Los Angeles County,40051
233,92570,Perris,CA,Riverside County,40040
234,92069,San Marcos,CA,San Diego County,39979
235,95037,Morgan Hill,CA,Santa Clara County,39932
236,90006,Los Angeles,CA,Los Angeles County,39848
237,92530,Lake Elsinore,CA,Riverside County,39728
238,90016,Los Angeles,CA,Los Angeles County,39726
239,94303,Palo Alto,CA,Santa Clara County,39638
240,92234,Cathedral City,CA,Riverside County,39609
241,94086,Sunnyvale,CA,Santa Clara County,39606
242,93308,Bakersfield,CA,Kern County,39560
243,91405,Van Nuys,CA,Los Angeles County,39405
244,94521,Concord,CA,Contra Costa County,39355
245,92084,Vista,CA,San Diego County,39339
246,93010,Camarillo,CA,Ventura County,39308
247,95008,Campbell,CA,Santa Clara County,39269
248,92505,Riverside,CA,Riverside County,39258
249,92410,San Bernardino,CA,San Bernardino County,39252
250,91701,Rancho Cucamonga,CA,San Bernardino County,39251
251,92115,San Diego,CA,San Diego County,39241
252,95120,San Jose,CA,Santa Clara County,39164
253,92867,Orange,CA,Orange County,39161
254,94109,San Francisco,CA,San Francisco County,39127
255,95616,Davis,CA,Yolo County,39092
256,90032,Los Angeles,CA,Los Angeles County,39065
257,95132,San Jose,CA,Santa Clara County,39003
258,95628,Fair Oaks,CA,Sacramento County,38978
259,91941,La Mesa,CA,San Diego County,38928
260,90018,Los Angeles,CA,Los Angeles County,38849
261,95336,Manteca,CA,San Joaquin County,38825
262,94010,Burlingame,CA,San Mateo County,38812
263,92571,Perris,CA,Riverside County,38765
264,90002,Los Angeles,CA,Los Angeles County,38545
265,94546,Castro Valley,CA,Alameda County,38489
266,94531,Antioch,CA,Contra Costa County,38379
267,93455,Santa Maria,CA,Santa Barbara County,38367
268,92113,San Diego,CA,San Diego County,38340
269,95831,Sacramento,CA,Sacramento County,38266
270,91306,Winnetka,CA,Los Angeles County,38217
271,95136,San Jose,CA,Santa Clara County,38193
272,94066,San Bruno,CA,San Mateo County,38112
273,90241,Downey,CA,Los Angeles County,38110
274,95648,Lincoln,CA,Placer County,38096
275,95822,Sacramento,CA,Sacramento County,38075
276,90023,Los Angeles,CA,Los Angeles County,38061
277,92544,Hemet,CA,Riverside County,38056
278,92507,Riverside,CA,Riverside County,38043
279,92019,El Cajon,CA,San Diego County,38023
280,95207,Stockton,CA,San Joaquin County,37980
281,92111,San Diego,CA,San Diego County,37912
282,92025,Escondido,CA,San Diego County,37858
283,91733,South El Monte,CA,Los Angeles County,37675
284,93304,Bakersfield,CA,Kern County,37549
285,90501,Torrance,CA,Los Angeles County,37515
286,90242,Downey,CA,Los Angeles County,37360
287,90605,Whittier,CA,Los Angeles County,37303
288,95129,San Jose,CA,Santa Clara County,37267
289,90025,Los Angeles,CA,Los Angeles County,37172
290,92040,Lakeside,CA,San Diego County,37066
291,92009,Carlsbad,CA,San Diego County,37036
292,90808,Long Beach,CA,Los Angeles County,37031
293,95610,Citrus Heights,CA,Sacramento County,36975
294,95762,El Dorado Hills,CA,El Dorado County,36970
295,90043,Los Angeles,CA,Los Angeles County,36952
296,94121,San Francisco,CA,San Francisco County,36883
297,94901,San Rafael,CA,Marin County,36878
298,95351,Modesto,CA,Stanislaus County,36778
299,95240,Lodi,CA,San Joaquin County,36766
